,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
90,6968.5,7240,7121.5,7674.5,7270.5,7645.5,8454,7282,7314,8853,7443,10545,8816,9467,7546,10182,11063,11975,13327,14551,15897.5
91,6029,6218.75,6307.25,6671.5,6199.75,6512.75,6957.5,6229.5,6577,6672,6126.5,8521,6908,8150.5,6740,8413.5,8272.5,10161,10983,11437.5,12422
92,5089.5,5197.5,5493,5668.5,5129,5380,5461,5177,5840,4491,4810,6497,5000,6834,5934,6645,5482,8039,8837,9358,9687
93,4077.5,4557,4642,4806.5,4779,4294.5,4617,4753,4034,4403,3746,3995,5065,4043,5770,4950,5615,5915.5,7263,7515,7885.5
94,3841,3629,4107,4108.5,3974,3956.5,3453,4072,3683,3011,3763,3144,3098,4075,3351,4820,4210,4957,5592,6155.5,6305
95,3271.5,3477.5,3295,3662.5,3470.5,3359,3951,3066,3119,2657,2581,3189,2409,2447,3430,2813,4143,3773.5,4108.5,4749,5194.5
96,2662,2970,3157,2927,3025.5,2852.5,2439,3592,2358,2341,2284,2186,2427,1903,2053,2948,2397,3638.5,3499.5,3501.5,4029.5
97,2265,2383.5,2711.5,2865,2481,2586.5,2954,2227,2770,1703,2031,1952,1699,1927,1600,1737,2582,2578.5,3100,3032.5,3031
98,2041,2065.5,2197,2459.5,2437.5,2094,1990,2686,1693,1895,1483,1780,1491,1378,1640,1362,1502,2428.5,2600.5,2722,2659
99,2079,1858.5,1913,2017,2073.5,2068,2020,1854,1983,1187,1680,1324,1340,1212,1181,1435,1205,1658.5,2116.5,2339,2425
100,1665,1927.5,1734.5,1749,1718,1798,1963,1865,1415,1434,1057,1455,996,1075,943,1064,1300,1373.5,1717.5,1896.5,2104
