,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
90,804,697,839,996,943,1096,1036,1152,1302,1200,1496,1424,1580,1273,1657,1735,1600,2057,1857,2018,2440
91,650,613,694,771,808,824,1012,971,1009,1121,1048,1331,1301,1362,1171,1436,1466,1542,1733,1701,2036
92,621,462,582,669,617,726,753,905,794,852,948,899,1112,1066,1228,960,1157,1372,1317,1546,1598
93,403,410,434,492,495,590,677,688,684,757,722,813,761,912,933,1005,822,1037,1124,1165,1363
94,359,294,378,423,463,449,491,555,536,577,532,570,649,624,857,731,777,682,867,986,1054
95,242,237,236,348,290,372,343,395,437,395,475,462,477,526,520,625,593,637,577,745,841
96,196,213,225,224,273,236,291,297,327,340,364,392,358,320,434,404,466,478,540,431,604
97,148,138,155,211,173,222,191,231,220,254,258,271,322,255,258,329,294,394,427,429,376
98,125,91,119,145,134,128,184,132,165,192,185,183,190,241,230,225,229,245,270,267,345
99,82,73,71,98,120,114,95,105,124,140,118,152,177,168,181,139,143,189,173,208,230
100,62,51,60,52,68,71,83,74,99,95,101,102,103,110,109,136,117,112,151,121,155
